213        Isotope List   
     Name    A   Z 
  167    1 O  13 ( 0      , 1 H   1)  1 C  12 +  15.823 MEV
  168    1 F  22 ( 0      , 1 NE  1)  1 NE 21 +   0.453 MEV
  169    1 NE 17 ( 0      , 1 H   1)  1 O  16 +  13.909 MEV
  170    1 NA 20 ( 0      , 1 HE  4)  1 O  16 +   9.160 MEV
  171    1 MG 20 ( 0      , 1 H   1)  1 NE 19 +   8.530 MEV
  172    1 MG 21 ( 0      , 1 H   1)  1 NE 20 +  10.664 MEV
  173    1 MG 21 ( 0      , 1 HE  4)  1 F  17 +   6.536 MEV
  174    1 AL 22 ( 0      , 1 H   1)  1 NA 21 +  13.075 MEV
  175    1 AL 22 ( 0      , 1 HE  4)  1 NE 18 +  10.459 MEV
  176    1 AL 23 ( 0      , 1 H   1)  1 NA 22 +   4.663 MEV
  177    1 AL 24 ( 0      , 1 H   1)  1 NA 23 +   2.193 MEV
  178    1 AL 24 ( 0      , 1 HE  4)  1 NE 20 +   4.560 MEV
  179    1 SI 24 ( 0      , 1 H   1)  1 MG 23 +   8.940 MEV
  180    1 SI 25 ( 0      , 1 H   1)  1 MG 24 +  10.469 MEV
  181    1 P  28 ( 0      , 1 H   1)  1 AL 27 +   2.758 MEV
  182    1 P  28 ( 0      , 1 HE  4)  1 MG 24 +   4.359 MEV
  183    1 S  27 ( 0      , 1 H   1)  1 SI 26 +  16.885 MEV
  184    1 S  28 ( 0      , 1 H   1)  1 SI 27 +   9.165 MEV
  185    1 S  29 ( 0      , 1 H   1)  1 SI 28 +  11.044 MEV
  186    1 CL 31 ( 0      , 1 H   1)  1 P  30 +   5.842 MEV
  187    1 CL 32 ( 0      , 1 H   1)  1 P  31 +   3.816 MEV
  188    1 CL 32 ( 0      , 1 HE  4)  1 SI 28 +   5.733 MEV
  189    1 AR 32 ( 0      , 1 H   1)  1 S  31 +   9.555 MEV
  190    1 AR 33 ( 0      , 1 H   1)  1 S  32 +   9.343 MEV
