213        Isotope List   
     Name    A   Z 
  945    1 NA 21 ( 0      , 1 HE  4)  1 F  17 +  -6.562 MEV
  946    1 NA 22 ( 0      , 1 NE  1)  1 NA 21 + -11.068 MEV
  947    1 NA 22 ( 0      , 1 H   1)  1 NE 21 +  -6.740 MEV
  948    1 NA 22 ( 0      , 1 HE  4)  1 F  18 +  -8.480 MEV
  949    1 NA 23 ( 0      , 1 NE  1)  1 NA 22 + -12.419 MEV
  950    1 NA 23 ( 0      , 1 H   1)  1 NE 22 +  -8.794 MEV
  951    1 NA 23 ( 0      , 1 HE  4)  1 F  19 + -10.468 MEV
  952    1 NA 24 ( 0      , 1 NE  1)  1 NA 23 +  -6.959 MEV
  953    1 NA 24 ( 0      , 1 H   1)  1 NE 23 + -10.553 MEV
  954    1 NA 24 ( 0      , 1 HE  4)  1 F  20 + -10.826 MEV
  955    1 NA 25 ( 0      , 1 NE  1)  1 NA 24 +  -9.011 MEV
  956    1 NA 25 ( 0      , 1 HE  4)  1 F  21 + -11.735 MEV
  957    1 NA 26 ( 0      , 1 NE  1)  1 NA 25 +  -5.574 MEV
  958    1 NA 26 ( 0      , 1 HE  4)  1 F  22 + -12.079 MEV
  959    1 MG 20 ( 1 NE  1, 1 H   1)  1 NA 20 +  11.490 MEV
  960    1 MG 20 ( 1 NE  1, 1 HE  4)  1 NE 17 +   6.705 MEV
  961    1 MG 20 ( 1 NE  1, 0      )  1 MG 21 +  14.716 MEV
  962    1 NA 20 ( 1 H   1, 1 NE  1)  1 MG 20 + -11.490 MEV
  963    1 NE 17 ( 1 HE  4, 1 NE  1)  1 MG 20 +  -6.705 MEV
  964    1 MG 21 ( 1 NE  1, 1 H   1)  1 NA 21 +  13.881 MEV
  965    1 MG 21 ( 1 NE  1, 1 HE  4)  1 NE 18 +  11.242 MEV
  966    1 MG 21 ( 1 NE  1, 0      )  1 MG 22 +  19.385 MEV
  967    1 NA 21 ( 1 H   1, 1 NE  1)  1 MG 21 + -13.881 MEV
  968    1 NE 18 ( 1 HE  4, 1 NE  1)  1 MG 21 + -11.242 MEV
  969    1 MG 22 ( 1 NE  1, 1 H   1)  1 NA 22 +   5.564 MEV
  970    1 MG 22 ( 1 NE  1, 1 HE  4)  1 NE 19 +   3.494 MEV
  971    1 MG 22 ( 1 NE  1, 0      )  1 MG 23 +  13.144 MEV
  972    1 NA 22 ( 1 H   1, 1 NE  1)  1 MG 22 +  -5.564 MEV
  973    1 NE 19 ( 1 HE  4, 1 NE  1)  1 MG 22 +  -3.494 MEV
  974    1 MG 23 ( 1 NE  1, 1 H   1)  1 NA 23 +   4.839 MEV
  975    1 MG 23 ( 1 NE  1, 1 HE  4)  1 NE 20 +   7.215 MEV
  976    1 MG 23 ( 1 NE  1, 0      )  1 MG 24 +  16.532 MEV
  977    1 NA 23 ( 1 H   1, 1 NE  1)  1 MG 23 +  -4.839 MEV
  978    1 NE 20 ( 1 HE  4, 1 NE  1)  1 MG 23 +  -7.215 MEV
  979    1 MG 24 ( 1 NE  1, 0      )  1 MG 25 +   7.330 MEV
  980    1 MG 25 ( 1 NE  1, 1 HE  4)  1 NE 22 +   0.478 MEV
  981    1 MG 25 ( 1 NE  1, 0      )  1 MG 26 +  11.093 MEV
  982    1 NE 22 ( 1 HE  4, 1 NE  1)  1 MG 25 +  -0.478 MEV
  983    1 MG 26 ( 1 NE  1, 0      )  1 MG 27 +   6.443 MEV
  984    1 MG 21 ( 1 H   1, 0      )  1 AL 22 +   0.002 MEV
  985    1 MG 22 ( 1 H   1, 0      )  1 AL 23 +   0.122 MEV
  986    1 MG 23 ( 1 H   1, 0      )  1 AL 24 +   1.872 MEV
  987    1 MG 24 ( 1 H   1, 0      )  1 AL 25 +   2.272 MEV
  988    1 MG 26 ( 1 H   1, 0      )  1 AL 27 +   8.271 MEV
  989    1 MG 27 ( 1 H   1, 1 NE  1)  1 AL 27 +   1.828 MEV
  990    1 MG 27 ( 1 H   1, 0      )  1 AL 28 +   9.553 MEV
  991    1 AL 27 ( 1 NE  1, 1 H   1)  1 MG 27 +  -1.828 MEV
  992    1 MG 20 ( 1 HE  4, 1 H   1)  1 AL 23 +   5.947 MEV
  993    1 MG 20 ( 1 HE  4, 0      )  1 SI 24 +   9.240 MEV
  994    1 AL 23 ( 1 H   1, 1 HE  4)  1 MG 20 +  -5.947 MEV
  995    1 MG 21 ( 1 HE  4, 1 H   1)  1 AL 24 +   6.098 MEV
  996    1 MG 21 ( 1 HE  4, 0      )  1 SI 25 +   9.512 MEV
  997    1 AL 24 ( 1 H   1, 1 HE  4)  1 MG 21 +  -6.098 MEV
  998    1 MG 22 ( 1 HE  4, 1 H   1)  1 AL 25 +   3.652 MEV
  999    1 MG 22 ( 1 HE  4, 0      )  1 SI 26 +   9.166 MEV
 1000    1 AL 25 ( 1 H   1, 1 HE  4)  1 MG 22 +  -3.652 MEV
 1001    1 MG 23 ( 1 HE  4, 0      )  1 SI 27 +   9.336 MEV
 1002    1 MG 24 ( 1 HE  4, 0      )  1 SI 28 +   9.984 MEV
 1003    1 MG 25 ( 1 HE  4, 1 NE  1)  1 SI 28 +   2.654 MEV
 1004    1 MG 25 ( 1 HE  4, 0      )  1 SI 29 +  11.127 MEV
 1005    1 SI 28 ( 1 NE  1, 1 HE  4)  1 MG 25 +  -2.654 MEV
 1006    1 MG 26 ( 1 HE  4, 1 NE  1)  1 SI 29 +   0.034 MEV
 1007    1 MG 26 ( 1 HE  4, 0      )  1 SI 30 +  10.643 MEV
 1008    1 SI 29 ( 1 NE  1, 1 HE  4)  1 MG 26 +  -0.034 MEV
 1009    1 MG 27 ( 1 HE  4, 1 NE  1)  1 SI 30 +   4.200 MEV
 1010    1 MG 27 ( 1 HE  4, 0      )  1 SI 31 +  10.787 MEV
 1011    1 SI 30 ( 1 NE  1, 1 HE  4)  1 MG 27 +  -4.200 MEV
 1012    1 MG 20 ( 0      , 1 H   1)  1 NA 19 +  -2.659 MEV
 1013    1 MG 21 ( 0      , 1 NE  1)  1 MG 20 + -14.716 MEV
 1014    1 MG 21 ( 0      , 1 H   1)  1 NA 20 +  -3.226 MEV
 1015    1 MG 22 ( 0      , 1 NE  1)  1 MG 21 + -19.385 MEV
 1016    1 MG 22 ( 0      , 1 H   1)  1 NA 21 +  -5.504 MEV
 1017    1 MG 22 ( 0      , 1 HE  4)  1 NE 18 +  -8.143 MEV
 1018    1 MG 23 ( 0      , 1 NE  1)  1 MG 22 + -13.144 MEV
 1019    1 MG 23 ( 0      , 1 H   1)  1 NA 22 +  -7.581 MEV
 1020    1 MG 23 ( 0      , 1 HE  4)  1 NE 19 +  -9.650 MEV
 1021    1 MG 24 ( 0      , 1 NE  1)  1 MG 23 + -16.532 MEV
 1022    1 MG 24 ( 0      , 1 H   1)  1 NA 23 + -11.693 MEV
 1023    1 MG 24 ( 0      , 1 HE  4)  1 NE 20 +  -9.317 MEV
 1024    1 MG 25 ( 0      , 1 NE  1)  1 MG 24 +  -7.330 MEV
 1025    1 MG 25 ( 0      , 1 H   1)  1 NA 24 + -12.064 MEV
 1026    1 MG 25 ( 0      , 1 HE  4)  1 NE 21 +  -9.886 MEV
 1027    1 MG 26 ( 0      , 1 NE  1)  1 MG 25 + -11.093 MEV
 1028    1 MG 26 ( 0      , 1 H   1)  1 NA 25 + -14.146 MEV
 1029    1 MG 26 ( 0      , 1 HE  4)  1 NE 22 + -10.615 MEV
 1030    1 MG 27 ( 0      , 1 NE  1)  1 MG 26 +  -6.443 MEV
 1031    1 MG 27 ( 0      , 1 H   1)  1 NA 26 + -15.015 MEV
 1032    1 MG 27 ( 0      , 1 HE  4)  1 NE 23 + -11.858 MEV
 1033    1 AL 22 ( 1 NE  1, 1 H   1)  1 MG 22 +  19.383 MEV
 1034    1 AL 22 ( 1 NE  1, 1 HE  4)  1 NA 19 +  10.918 MEV
 1035    1 AL 22 ( 1 NE  1, 0      )  1 AL 23 +  19.524 MEV
 1036    1 MG 22 ( 1 H   1, 1 NE  1)  1 AL 22 + -19.383 MEV
 1037    1 NA 19 ( 1 HE  4, 1 NE  1)  1 AL 22 + -10.918 MEV
 1038    1 AL 23 ( 1 NE  1, 1 H   1)  1 MG 23 +  13.003 MEV
 1039    1 AL 23 ( 1 NE  1, 1 HE  4)  1 NA 20 +   5.543 MEV
 1040    1 AL 23 ( 1 NE  1, 0      )  1 AL 24 +  14.867 MEV
 1041    1 MG 23 ( 1 H   1, 1 NE  1)  1 AL 23 + -13.003 MEV
 1042    1 NA 20 ( 1 HE  4, 1 NE  1)  1 AL 23 +  -5.543 MEV
 1043    1 AL 24 ( 1 NE  1, 1 H   1)  1 MG 24 +  14.668 MEV
 1044    1 AL 24 ( 1 NE  1, 1 HE  4)  1 NA 21 +   7.783 MEV
 1045    1 AL 24 ( 1 NE  1, 0      )  1 AL 25 +  16.939 MEV
 1046    1 MG 24 ( 1 H   1, 1 NE  1)  1 AL 24 + -14.668 MEV
 1047    1 NA 21 ( 1 HE  4, 1 NE  1)  1 AL 24 +  -7.783 MEV
 1048    1 AL 25 ( 1 NE  1, 1 H   1)  1 MG 25 +   5.059 MEV
 1049    1 AL 25 ( 1 NE  1, 1 HE  4)  1 NA 22 +   1.912 MEV
 1050    1 MG 25 ( 1 H   1, 1 NE  1)  1 AL 25 +  -5.059 MEV
 1051    1 NA 22 ( 1 HE  4, 1 NE  1)  1 AL 25 +  -1.912 MEV
 1052    1 AL 27 ( 1 NE  1, 0      )  1 AL 28 +   7.725 MEV
 1053    1 AL 28 ( 1 NE  1, 0      )  1 AL 29 +   9.425 MEV
 1054    1 AL 29 ( 1 NE  1, 0      )  1 AL 30 +   5.738 MEV
 1055    1 AL 23 ( 1 H   1, 0      )  1 SI 24 +   3.304 MEV
 1056    1 AL 24 ( 1 H   1, 0      )  1 SI 25 +   3.408 MEV
 1057    1 AL 25 ( 1 H   1, 0      )  1 SI 26 +   5.512 MEV
 1058    1 AL 27 ( 1 H   1, 1 HE  4)  1 MG 24 +   1.601 MEV
 1059    1 AL 27 ( 1 H   1, 0      )  1 SI 28 +  11.585 MEV
 1060    1 MG 24 ( 1 HE  4, 1 H   1)  1 AL 27 +  -1.601 MEV
 1061    1 AL 28 ( 1 H   1, 1 NE  1)  1 SI 28 +   3.860 MEV
 1062    1 AL 28 ( 1 H   1, 1 HE  4)  1 MG 25 +   1.206 MEV
 1063    1 AL 28 ( 1 H   1, 0      )  1 SI 29 +  12.333 MEV
 1064    1 SI 28 ( 1 NE  1, 1 H   1)  1 AL 28 +  -3.860 MEV
 1065    1 MG 25 ( 1 HE  4, 1 H   1)  1 AL 28 +  -1.206 MEV
 1066    1 AL 29 ( 1 H   1, 1 NE  1)  1 SI 29 +   2.908 MEV
 1067    1 AL 29 ( 1 H   1, 1 HE  4)  1 MG 26 +   2.874 MEV
 1068    1 AL 29 ( 1 H   1, 0      )  1 SI 30 +  13.517 MEV
 1069    1 SI 29 ( 1 NE  1, 1 H   1)  1 AL 29 +  -2.908 MEV
 1070    1 MG 26 ( 1 HE  4, 1 H   1)  1 AL 29 +  -2.874 MEV
 1071    1 AL 30 ( 1 H   1, 1 NE  1)  1 SI 30 +   7.779 MEV
 1072    1 AL 30 ( 1 H   1, 1 HE  4)  1 MG 27 +   3.579 MEV
 1073    1 AL 30 ( 1 H   1, 0      )  1 SI 31 +  14.366 MEV
 1074    1 SI 30 ( 1 NE  1, 1 H   1)  1 AL 30 +  -7.779 MEV
 1075    1 MG 27 ( 1 HE  4, 1 H   1)  1 AL 30 +  -3.579 MEV
 1076    1 AL 22 ( 1 HE  4, 1 H   1)  1 SI 25 +   9.510 MEV
 1077    1 AL 22 ( 1 HE  4, 0      )  1 P  26 +   9.653 MEV
 1078    1 SI 25 ( 1 H   1, 1 HE  4)  1 AL 22 +  -9.510 MEV
 1079    1 AL 23 ( 1 HE  4, 1 H   1)  1 SI 26 +   9.025 MEV
 1080    1 AL 23 ( 1 HE  4, 0      )  1 P  27 +   9.895 MEV
 1081    1 SI 26 ( 1 H   1, 1 HE  4)  1 AL 23 +  -9.025 MEV
 1082    1 AL 24 ( 1 HE  4, 1 H   1)  1 SI 27 +   7.472 MEV
 1083    1 AL 24 ( 1 HE  4, 0      )  1 P  28 +   9.525 MEV
 1084    1 SI 27 ( 1 H   1, 1 HE  4)  1 AL 24 +  -7.472 MEV
 1085    1 AL 25 ( 1 HE  4, 1 H   1)  1 SI 28 +   7.713 MEV
 1086    1 AL 25 ( 1 HE  4, 0      )  1 P  29 +  10.461 MEV
 1087    1 SI 28 ( 1 H   1, 1 HE  4)  1 AL 25 +  -7.713 MEV
 1088    1 AL 27 ( 1 HE  4, 1 H   1)  1 SI 30 +   2.372 MEV
 1089    1 AL 27 ( 1 HE  4, 0      )  1 P  31 +   9.669 MEV
 1090    1 SI 30 ( 1 H   1, 1 HE  4)  1 AL 27 +  -2.372 MEV
 1091    1 AL 28 ( 1 HE  4, 1 NE  1)  1 P  31 +   1.944 MEV
 1092    1 AL 28 ( 1 HE  4, 1 H   1)  1 SI 31 +   1.234 MEV
 1093    1 AL 28 ( 1 HE  4, 0      )  1 P  32 +   9.879 MEV
 1094    1 P  31 ( 1 NE  1, 1 HE  4)  1 AL 28 +  -1.944 MEV
 1095    1 SI 31 ( 1 H   1, 1 HE  4)  1 AL 28 +  -1.234 MEV
 1096    1 AL 29 ( 1 HE  4, 1 NE  1)  1 P  32 +   0.454 MEV
 1097    1 AL 29 ( 1 HE  4, 0      )  1 P  33 +  10.557 MEV
 1098    1 P  32 ( 1 NE  1, 1 HE  4)  1 AL 29 +  -0.454 MEV
 1099    1 AL 30 ( 1 HE  4, 1 NE  1)  1 P  33 +   4.819 MEV
 1100    1 AL 30 ( 1 HE  4, 0      )  1 P  34 +  11.102 MEV
 1101    1 P  33 ( 1 NE  1, 1 HE  4)  1 AL 30 +  -4.819 MEV
 1102    1 AL 22 ( 0      , 1 H   1)  1 MG 21 +  -0.002 MEV
 1103    1 AL 23 ( 0      , 1 NE  1)  1 AL 22 + -19.524 MEV
 1104    1 AL 23 ( 0      , 1 H   1)  1 MG 22 +  -0.122 MEV
 1105    1 AL 23 ( 0      , 1 HE  4)  1 NA 19 +  -8.606 MEV
 1106    1 AL 24 ( 0      , 1 NE  1)  1 AL 23 + -14.867 MEV
 1107    1 AL 24 ( 0      , 1 H   1)  1 MG 23 +  -1.872 MEV
 1108    1 AL 24 ( 0      , 1 HE  4)  1 NA 20 +  -9.324 MEV
 1109    1 AL 25 ( 0      , 1 NE  1)  1 AL 24 + -16.939 MEV
 1110    1 AL 25 ( 0      , 1 H   1)  1 MG 24 +  -2.272 MEV
 1111    1 AL 25 ( 0      , 1 HE  4)  1 NA 21 +  -9.156 MEV
 1112    1 AL 27 ( 0      , 1 H   1)  1 MG 26 +  -8.271 MEV
 1113    1 AL 27 ( 0      , 1 HE  4)  1 NA 23 + -10.092 MEV
 1114    1 AL 28 ( 0      , 1 NE  1)  1 AL 27 +  -7.725 MEV
 1115    1 AL 28 ( 0      , 1 H   1)  1 MG 27 +  -9.553 MEV
 1116    1 AL 28 ( 0      , 1 HE  4)  1 NA 24 + -10.858 MEV
 1117    1 AL 29 ( 0      , 1 NE  1)  1 AL 28 +  -9.425 MEV
 1118    1 AL 29 ( 0      , 1 HE  4)  1 NA 25 + -11.272 MEV
 1119    1 AL 30 ( 0      , 1 NE  1)  1 AL 29 +  -5.738 MEV
 1120    1 AL 30 ( 0      , 1 HE  4)  1 NA 26 + -11.436 MEV
 1121    1 SI 24 ( 1 NE  1, 1 H   1)  1 AL 24 +  11.574 MEV
 1122    1 SI 24 ( 1 NE  1, 1 HE  4)  1 MG 21 +   5.476 MEV
 1123    1 SI 24 ( 1 NE  1, 0      )  1 SI 25 +  14.988 MEV
 1124    1 AL 24 ( 1 H   1, 1 NE  1)  1 SI 24 + -11.574 MEV
 1125    1 MG 21 ( 1 HE  4, 1 NE  1)  1 SI 24 +  -5.476 MEV
 1126    1 SI 25 ( 1 NE  1, 1 H   1)  1 AL 25 +  13.525 MEV
 1127    1 SI 25 ( 1 NE  1, 1 HE  4)  1 MG 22 +   9.873 MEV
 1128    1 SI 25 ( 1 NE  1, 0      )  1 SI 26 +  19.039 MEV
 1129    1 AL 25 ( 1 H   1, 1 NE  1)  1 SI 25 + -13.525 MEV
 1130    1 MG 22 ( 1 HE  4, 1 NE  1)  1 SI 25 +  -9.873 MEV
 1131    1 SI 26 ( 1 NE  1, 1 HE  4)  1 MG 23 +   3.978 MEV
 1132    1 SI 26 ( 1 NE  1, 0      )  1 SI 27 +  13.314 MEV
 1133    1 MG 23 ( 1 HE  4, 1 NE  1)  1 SI 26 +  -3.978 MEV
 1134    1 SI 27 ( 1 NE  1, 1 H   1)  1 AL 27 +   5.595 MEV
 1135    1 SI 27 ( 1 NE  1, 1 HE  4)  1 MG 24 +   7.196 MEV
 1136    1 SI 27 ( 1 NE  1, 0      )  1 SI 28 +  17.180 MEV
 1137    1 AL 27 ( 1 H   1, 1 NE  1)  1 SI 27 +  -5.595 MEV
 1138    1 MG 24 ( 1 HE  4, 1 NE  1)  1 SI 27 +  -7.196 MEV
 1139    1 SI 28 ( 1 NE  1, 0      )  1 SI 29 +   8.473 MEV
 1140    1 SI 29 ( 1 NE  1, 0      )  1 SI 30 +  10.609 MEV
 1141    1 SI 30 ( 1 NE  1, 0      )  1 SI 31 +   6.587 MEV
 1142    1 SI 25 ( 1 H   1, 0      )  1 P  26 +   0.143 MEV
 1143    1 SI 26 ( 1 H   1, 0      )  1 P  27 +   0.861 MEV
 1144    1 SI 27 ( 1 H   1, 0      )  1 P  28 +   2.063 MEV
 1145    1 SI 28 ( 1 H   1, 0      )  1 P  29 +   2.749 MEV
 1146    1 SI 29 ( 1 H   1, 0      )  1 P  30 +   5.595 MEV
 1147    1 SI 30 ( 1 H   1, 0      )  1 P  31 +   7.297 MEV
 1148    1 SI 31 ( 1 H   1, 1 NE  1)  1 P  31 +   0.710 MEV
 1149    1 SI 31 ( 1 H   1, 0      )  1 P  32 +   8.645 MEV
 1150    1 P  31 ( 1 NE  1, 1 H   1)  1 SI 31 +  -0.710 MEV
 1151    1 SI 24 ( 1 HE  4, 1 H   1)  1 P  27 +   6.602 MEV
 1152    1 SI 24 ( 1 HE  4, 0      )  1 S  28 +   9.096 MEV
 1153    1 P  27 ( 1 H   1, 1 HE  4)  1 SI 24 +  -6.602 MEV
 1154    1 SI 25 ( 1 HE  4, 1 H   1)  1 P  28 +   6.111 MEV
 1155    1 SI 25 ( 1 HE  4, 0      )  1 S  29 +   9.408 MEV
 1156    1 P  28 ( 1 H   1, 1 HE  4)  1 SI 25 +  -6.111 MEV
 1157    1 SI 26 ( 1 HE  4, 1 H   1)  1 P  29 +   4.947 MEV
 1158    1 SI 26 ( 1 HE  4, 0      )  1 S  30 +   9.343 MEV
 1159    1 P  29 ( 1 H   1, 1 HE  4)  1 SI 26 +  -4.947 MEV
 1160    1 SI 27 ( 1 HE  4, 1 H   1)  1 P  30 +   2.953 MEV
 1161    1 SI 27 ( 1 HE  4, 0      )  1 S  31 +   9.084 MEV
 1162    1 P  30 ( 1 H   1, 1 HE  4)  1 SI 27 +  -2.953 MEV
 1163    1 SI 28 ( 1 HE  4, 0      )  1 S  32 +   6.948 MEV
 1164    1 SI 29 ( 1 HE  4, 0      )  1 S  33 +   7.116 MEV
 1165    1 SI 30 ( 1 HE  4, 0      )  1 S  34 +   7.924 MEV
 1166    1 SI 31 ( 1 HE  4, 1 NE  1)  1 S  34 +   1.337 MEV
 1167    1 SI 31 ( 1 HE  4, 0      )  1 S  35 +   8.322 MEV
 1168    1 S  34 ( 1 NE  1, 1 HE  4)  1 SI 31 +  -1.337 MEV
 1169    1 SI 24 ( 0      , 1 H   1)  1 AL 23 +  -3.304 MEV
 1170    1 SI 24 ( 0      , 1 HE  4)  1 MG 20 +  -9.240 MEV
 1171    1 SI 25 ( 0      , 1 NE  1)  1 SI 24 + -14.988 MEV
 1172    1 SI 25 ( 0      , 1 H   1)  1 AL 24 +  -3.408 MEV
 1173    1 SI 25 ( 0      , 1 HE  4)  1 MG 21 +  -9.512 MEV
 1174    1 SI 26 ( 0      , 1 NE  1)  1 SI 25 + -19.039 MEV
 1175    1 SI 26 ( 0      , 1 H   1)  1 AL 25 +  -5.512 MEV
 1176    1 SI 26 ( 0      , 1 HE  4)  1 MG 22 +  -9.166 MEV
 1177    1 SI 27 ( 0      , 1 NE  1)  1 SI 26 + -13.314 MEV
 1178    1 SI 27 ( 0      , 1 HE  4)  1 MG 23 +  -9.336 MEV
 1179    1 SI 28 ( 0      , 1 NE  1)  1 SI 27 + -17.180 MEV
 1180    1 SI 28 ( 0      , 1 H   1)  1 AL 27 + -11.585 MEV
 1181    1 SI 28 ( 0      , 1 HE  4)  1 MG 24 +  -9.984 MEV
 1182    1 SI 29 ( 0      , 1 NE  1)  1 SI 28 +  -8.473 MEV
 1183    1 SI 29 ( 0      , 1 H   1)  1 AL 28 + -12.333 MEV
 1184    1 SI 29 ( 0      , 1 HE  4)  1 MG 25 + -11.127 MEV
 1185    1 SI 30 ( 0      , 1 NE  1)  1 SI 29 + -10.609 MEV
 1186    1 SI 30 ( 0      , 1 H   1)  1 AL 29 + -13.517 MEV
 1187    1 SI 30 ( 0      , 1 HE  4)  1 MG 26 + -10.643 MEV
 1188    1 SI 31 ( 0      , 1 NE  1)  1 SI 30 +  -6.587 MEV
 1189    1 SI 31 ( 0      , 1 H   1)  1 AL 30 + -14.366 MEV
 1190    1 SI 31 ( 0      , 1 HE  4)  1 MG 27 + -10.787 MEV
 1191    1 P  26 ( 1 NE  1, 1 H   1)  1 SI 26 +  18.896 MEV
 1192    1 P  26 ( 1 NE  1, 1 HE  4)  1 AL 23 +   9.871 MEV
 1193    1 P  26 ( 1 NE  1, 0      )  1 P  27 +  19.766 MEV
 1194    1 SI 26 ( 1 H   1, 1 NE  1)  1 P  26 + -18.896 MEV
 1195    1 AL 23 ( 1 HE  4, 1 NE  1)  1 P  26 +  -9.871 MEV
 1196    1 P  27 ( 1 NE  1, 1 H   1)  1 SI 27 +  12.444 MEV
 1197    1 P  27 ( 1 NE  1, 1 HE  4)  1 AL 24 +   4.972 MEV
 1198    1 P  27 ( 1 NE  1, 0      )  1 P  28 +  14.497 MEV
 1199    1 SI 27 ( 1 H   1, 1 NE  1)  1 P  27 + -12.444 MEV
 1200    1 AL 24 ( 1 HE  4, 1 NE  1)  1 P  27 +  -4.972 MEV
 1201    1 P  28 ( 1 NE  1, 1 H   1)  1 SI 28 +  15.127 MEV
 1202    1 P  28 ( 1 NE  1, 1 HE  4)  1 AL 25 +   7.414 MEV
 1203    1 P  28 ( 1 NE  1, 0      )  1 P  29 +  17.875 MEV
 1204    1 SI 28 ( 1 H   1, 1 NE  1)  1 P  28 + -15.127 MEV
 1205    1 AL 25 ( 1 HE  4, 1 NE  1)  1 P  28 +  -7.414 MEV
 1206    1 P  29 ( 1 NE  1, 1 H   1)  1 SI 29 +   5.725 MEV
 1207    1 P  29 ( 1 NE  1, 0      )  1 P  30 +  11.320 MEV
 1208    1 SI 29 ( 1 H   1, 1 NE  1)  1 P  29 +  -5.725 MEV
 1209    1 P  30 ( 1 NE  1, 1 H   1)  1 SI 30 +   5.014 MEV
 1210    1 P  30 ( 1 NE  1, 1 HE  4)  1 AL 27 +   2.642 MEV
 1211    1 P  30 ( 1 NE  1, 0      )  1 P  31 +  12.311 MEV
 1212    1 SI 30 ( 1 H   1, 1 NE  1)  1 P  30 +  -5.014 MEV
 1213    1 AL 27 ( 1 HE  4, 1 NE  1)  1 P  30 +  -2.642 MEV
 1214    1 P  31 ( 1 NE  1, 0      )  1 P  32 +   7.935 MEV
 1215    1 P  32 ( 1 NE  1, 0      )  1 P  33 +  10.103 MEV
 1216    1 P  33 ( 1 NE  1, 0      )  1 P  34 +   6.283 MEV
 1217    1 P  34 ( 1 NE  1, 0      )  1 P  35 +   8.380 MEV
 1218    1 P  35 ( 1 NE  1, 0      )  1 P  36 +   3.464 MEV
 1219    1 P  26 ( 1 H   1, 0      )  1 S  27 +   1.234 MEV
 1220    1 P  27 ( 1 H   1, 0      )  1 S  28 +   2.460 MEV
 1221    1 P  28 ( 1 H   1, 0      )  1 S  29 +   3.297 MEV
 1222    1 P  29 ( 1 H   1, 0      )  1 S  30 +   4.399 MEV
 1223    1 P  30 ( 1 H   1, 0      )  1 S  31 +   6.131 MEV
 1224    1 P  31 ( 1 H   1, 1 HE  4)  1 SI 28 +   1.916 MEV
 1225    1 P  31 ( 1 H   1, 0      )  1 S  32 +   8.864 MEV
 1226    1 SI 28 ( 1 HE  4, 1 H   1)  1 P  31 +  -1.916 MEV
 1227    1 P  32 ( 1 H   1, 1 NE  1)  1 S  32 +   0.929 MEV
 1228    1 P  32 ( 1 H   1, 1 HE  4)  1 SI 29 +   2.454 MEV
 1229    1 P  32 ( 1 H   1, 0      )  1 S  33 +   9.570 MEV
 1230    1 S  32 ( 1 NE  1, 1 H   1)  1 P  32 +  -0.929 MEV
 1231    1 SI 29 ( 1 HE  4, 1 H   1)  1 P  32 +  -2.454 MEV
 1232    1 P  33 ( 1 H   1, 1 HE  4)  1 SI 30 +   2.960 MEV
 1233    1 P  33 ( 1 H   1, 0      )  1 S  34 +  10.884 MEV
 1234    1 SI 30 ( 1 HE  4, 1 H   1)  1 P  33 +  -2.960 MEV
 1235    1 P  34 ( 1 H   1, 1 NE  1)  1 S  34 +   4.601 MEV
 1236    1 P  34 ( 1 H   1, 1 HE  4)  1 SI 31 +   3.264 MEV
 1237    1 P  34 ( 1 H   1, 0      )  1 S  35 +  11.586 MEV
 1238    1 S  34 ( 1 NE  1, 1 H   1)  1 P  34 +  -4.601 MEV
 1239    1 SI 31 ( 1 HE  4, 1 H   1)  1 P  34 +  -3.264 MEV
 1240    1 P  35 ( 1 H   1, 1 NE  1)  1 S  35 +   3.206 MEV
 1241    1 P  35 ( 1 H   1, 0      )  1 S  36 +  13.095 MEV
 1242    1 S  35 ( 1 NE  1, 1 H   1)  1 P  35 +  -3.206 MEV
 1243    1 P  36 ( 1 H   1, 1 NE  1)  1 S  36 +   9.631 MEV
 1244    1 P  36 ( 1 H   1, 0      )  1 S  37 +  13.934 MEV
 1245    1 S  36 ( 1 NE  1, 1 H   1)  1 P  36 +  -9.631 MEV
 1246    1 P  26 ( 1 HE  4, 1 H   1)  1 S  29 +   9.265 MEV
 1247    1 P  26 ( 1 HE  4, 0      )  1 CL 30 +   8.955 MEV
 1248    1 S  29 ( 1 H   1, 1 HE  4)  1 P  26 +  -9.265 MEV
 1249    1 P  27 ( 1 HE  4, 1 H   1)  1 S  30 +   8.473 MEV
 1250    1 P  27 ( 1 HE  4, 0      )  1 CL 31 +   8.769 MEV
 1251    1 S  30 ( 1 H   1, 1 HE  4)  1 P  27 +  -8.473 MEV
 1252    1 P  28 ( 1 HE  4, 1 H   1)  1 S  31 +   7.031 MEV
 1253    1 P  28 ( 1 HE  4, 0      )  1 CL 32 +   8.612 MEV
 1254    1 S  31 ( 1 H   1, 1 HE  4)  1 P  28 +  -7.031 MEV
 1255    1 P  29 ( 1 HE  4, 1 H   1)  1 S  32 +   4.200 MEV
 1256    1 P  29 ( 1 HE  4, 0      )  1 CL 33 +   6.476 MEV
 1257    1 S  32 ( 1 H   1, 1 HE  4)  1 P  29 +  -4.200 MEV
 1258    1 P  30 ( 1 HE  4, 1 H   1)  1 S  33 +   1.521 MEV
 1259    1 P  30 ( 1 HE  4, 0      )  1 CL 34 +   6.664 MEV
 1260    1 S  33 ( 1 H   1, 1 HE  4)  1 P  30 +  -1.521 MEV
 1261    1 P  31 ( 1 HE  4, 1 H   1)  1 S  34 +   0.627 MEV
